Model Name,Accuracy,Precision (Default),Recall (Default),F1-Score (Default)
Logistic Regression,0.8086666666666666,0.6535162950257289,0.28711379050489827,0.39895287958115183
Decision Tree,0.7276666666666667,0.38852578068264343,0.4031650339110776,0.39571005917159763
K-Nearest Neighbors,0.7938333333333333,0.5523255813953488,0.3579502637528259,0.43438500228623683
